name,stem,Adams filtration,weight,cell,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
1,0,0,0,0,0,,h0,,h1,,h2,,
h0,0,1,0,0,0,,loc,,,,h0 h2,,
h1,1,1,1,0,0,,,,loc,,,,
h2,3,1,2,0,0,,h0 h2,,,,h2^2,,
h0 h2,3,2,2,0,0,,,,,,,,
_h1^4,5,3,3,1,0,,,,loc,,,,
h2^2,6,2,4,0,0,,,,,,h1^2 h3,,
h3,7,1,4,0,0,,h0 h3,,h1 h3,,,,
h0 h3,7,2,4,0,0,,h0^2 h3,,,,,,
h0^2 h3,7,3,4,0,0,,h0^3 h3,,,,,,
h0^3 h3,7,4,4,0,0,,,,,,,,
h1 h3,8,2,5,0,0,,,,h1^2 h3,,,,
c0,8,3,5,0,0,,,,loc,,,,
h1^2 h3,9,3,6,0,0,,,,,,,,
P h1,9,5,5,0,0,,,,loc,,,,
_h1^2 c0,11,4,6,1,0,h,P h2,,loc,,,,
P h2,11,5,6,0,0,,P h0 h2,,,,,,
P h0 h2,11,6,6,0,0,,,,,,,,
_P h1^4,13,7,7,1,0,,,,loc,,,,
h3^2,14,2,8,0,0,,,,,,,,
d0,14,4,8,0,0,,,,h1 d0,,h0 e0,,
h0^3 h4,15,4,8,0,0,,h0^4 h4,,,,,,
h1 d0,15,5,9,0,-1,,,,,,,,
h0^4 h4,15,5,8,0,1,,h0^5 h4,,,,,,
h0^5 h4,15,6,8,0,0,,h0^6 h4,,,,,,
h0^6 h4,15,7,8,0,0,,h0^7 h4,,,,,,
h0^7 h4,15,8,8,0,0,,,,,,,,
h1 h4,16,2,9,0,0,,,,h1^2 h4,,,,
P c0,16,7,9,0,0,,,,loc,,,,
h1^2 h4,17,3,10,0,0,,,,h1^3 h4,,,,
h0 e0,17,5,10,0,0,,,,,,h0 h2 e0,,
P^2 h1,17,9,9,0,0,,,,loc,,,,
h2 h4,18,2,10,0,0,,h0 h2 h4,,,,h2^2 h4,,
h0 h2 h4,18,3,10,0,0,,,,,,,,
h1^3 h4,18,4,11,0,0,,,,,,,,
c1,19,3,11,0,0,,,,,,h2 c1,,
_P h1^2 c0,19,8,10,1,0,h,P^2 h2,,loc,,,,
P^2 h2,19,9,10,0,0,,P^2 h0 h2,,,,,,
P^2 h0 h2,19,10,10,0,0,,,,,,,,
t g,20,4,11,0,0,,,,t h1 g,,,,
h2 e0,20,5,12,0,0,,h0 h2 e0,,,,h0 h2 g,,
h0 h2 e0,20,6,12,0,0,,,,,,,,
h2^2 h4,21,3,12,0,0,,,,,,,,
t h1 g,21,5,12,0,0,,,,,,,,
_P^2 h1^4,21,11,11,1,0,,,,loc,,,,
h2 c1,22,4,13,0,0,,,,,,,,
c0 d0,22,7,13,0,0,,,,h1 c0 d0,,,,
h4 c0,23,4,13,0,0,,,,h1 h4 c0,,,,
h2 g,23,5,14,0,0,,h0 h2 g,,,,h2^2 g,,
h0 h2 g,23,6,14,0,0,,,,,,,,
h1 c0 d0,23,8,14,0,0,,,,,,,,
h0^2 i,23,9,12,0,0,,h0^3 i,,,,,,
h0^3 i,23,10,12,0,0,,h0^4 i,,,,,,
h0^4 i,23,11,12,0,0,,h0^5 i,,,,,,
h0^5 i,23,12,12,0,0,,,,,,,,
h1 h4 c0,24,5,14,0,0,,,,h1^2 h4 c0,,,,
P^2 c0,24,11,13,0,0,,,,loc,,,,
h1^2 h4 c0,25,6,15,0,0,,,,,,,,
P^3 h1,25,13,13,0,0,,,,loc,,,,
_h1^2 h4 c0,26,5,14,1,0,,,,,,,,
h2^2 g,26,6,16,0,0,,,,,,h1^2 h3 g,,
_P^2 h1^2 c0,27,12,14,1,0,h,P^3 h2,,loc,h,P^2 h0 d0,,
P^3 h2,27,13,14,0,0,,P^3 h0 h2,,,,P^2 h0^2 d0,,
P^3 h0 h2,27,14,14,0,0,,,,,,,,
h1 h3 g,28,6,17,0,0,,,,h1^2 h3 g,,,,
h1^2 h3 g,29,7,18,0,0,,,,,,,,
_P^3 h1^4,29,15,15,1,0,,,,loc,,,,
h4^2,30,2,16,0,0,,,,h1 h4^2,,,,
r,30,6,16,0,0,,,,,,h1 q,,
P^2 d0,30,12,16,0,0,,P^2 h0 d0,,,,,,
P^2 h0 d0,30,13,16,0,0,,P^2 h0^2 d0,,,,,,
P^2 h0^2 d0,30,14,16,0,0,,,,,,,,
h1 h4^2,31,3,17,0,0,,,,,,,,
n,31,5,17,0,0,,,,,,h2 n,,
h0^7 h5,31,8,16,0,0,,h0^8 h5,,,,,4,P^2 d0
h0^8 h5,31,9,16,0,0,,h0^9 h5,,,,,4,P^2 h0 d0
h0^9 h5,31,10,16,0,0,,h0^10 h5,,,,,4,P^2 h0^2 d0
h0^10 h5,31,11,16,0,0,,h0^11 h5,,,,,,
h0^11 h5,31,12,16,0,0,,h0^12 h5,,,,,,
h0^12 h5,31,13,16,0,0,,h0^13 h5,,,,,,
h0^13 h5,31,14,16,0,0,,h0^14 h5,,,,,,
h0^14 h5,31,15,16,0,0,,h0^15 h5,,,,,,
h0^15 h5,31,16,16,0,0,,,,,,,,
h1 h5,32,2,17,0,0,,,,h1^2 h5,,,,
d1,32,4,18,0,0,,,,h1 d1,,h2 d1,,
q,32,6,17,0,0,,,,h1 q,,,,
P^3 c0,32,15,17,0,0,,,,loc,,,,
h1^2 h5,33,3,18,0,0,,,,h1^3 h5,,,,
p,33,4,18,0,0,,,,,,,,
h1 d1,33,5,19,0,0,,,,h1^2 d1,,,,
h1 q,33,7,18,0,0,,,,,,,,
P^4 h1,33,17,17,0,0,,,,loc,,,,
h2 h5,34,2,18,0,0,,h0 h2 h5,,,,h2^2 h5,,
h0 h2 h5,34,3,18,0,0,,,,,,,,
h1^3 h5,34,4,19,0,0,,,,h1^4 h5,,,,
h2 n,34,6,19,0,-1,,,,,,,,
h1^2 d1,34,6,20,0,1,,,,,,,,
e0^2,34,8,20,0,0,,,,h1 e0^2,,h0 e0 g,,
_h1^2 d1,35,5,19,1,-2,,,h,T,,,,
h1^4 h5,35,5,20,0,0,,,,h1^5 h5,,,,
h2 d1,35,5,20,0,2,,,,,,h2^2 d1,,
h1 e0^2,35,9,21,0,0,,,,,,,,
_P^3 h1^2 c0,35,16,18,1,0,h,P^4 h2,,loc,,,,
P^4 h2,35,17,18,0,0,,P^4 h0 h2,,,,,,
P^4 h0 h2,35,18,18,0,0,,,,,,,,
_h1^4 h5,36,4,19,1,0,,,,_h1^5 h5,,,,
T,36,6,20,0,-1,,,,,,,,
h1^5 h5,36,6,21,0,1,,,,h1^6 h5,,,,
h2^2 h5,37,3,20,0,0,,,,,,h1^2 h3 h5,,
x,37,5,20,0,-1,,h0 x,,,,,,
_h1^5 h5,37,5,20,1,1,,,,_h1^6 h5,,,,
h0 x,37,6,20,0,0,,h0^2 x,,,,,,
h1^6 h5,37,7,22,0,-1,,,,h1^7 h5,,,,
h0^2 x,37,7,20,0,1,,,,,,,,
h0 e0 g,37,9,22,0,0,,,,,,h0 h2 e0 g,,
_P^4 h1^4,37,19,19,1,0,,,,loc,,,,
h3 h5,38,2,20,0,0,,h0 h3 h5,,h1 h3 h5,,,4,h0 x
h0 h3 h5,38,3,20,0,0,,h0^2 h3 h5,,,,,4,h0^2 x
h0^2 h3 h5,38,4,20,0,0,,h0^3 h3 h5,,,,,,
h0^3 h3 h5,38,5,20,0,0,,,,,,,,
h2^2 d1,38,6,22,0,-1,,,,,,h1^3 e1,,
_h1^6 h5,38,6,21,1,1,,,,_h1^7 h5,,,,
h0 y,38,7,20,0,0,,,,,,,,
h1^7 h5,38,8,23,0,0,,,,,,,,
h1 h3 h5,39,3,21,0,0,,,,h1^2 h3 h5,,,,
h5 c0,39,4,21,0,0,,,,h1 h5 c0,,,,
h1 e1,39,5,22,0,0,,,,h1^2 e1,,,,
_h1^7 h5,39,7,22,1,-1,,,h,t g^2,,,,
c1 g,39,7,23,0,1,,,,,,h2 c1 g,,
u,39,9,21,0,0,,,,,,,,
P^2 h0^2 i,39,17,20,0,0,,P^2 h0^3 i,,,,,,
P^2 h0^3 i,39,18,20,0,0,,P^2 h0^4 i,,,,,,
P^2 h0^4 i,39,19,20,0,0,,P^2 h0^5 i,,,,,,
P^2 h0^5 i,39,20,20,0,0,,,,,,,,
h1^2 h3 h5,40,4,22,0,-1,,,,,,,,
f1,40,4,22,0,1,,,,h1 f1,,,,
h1 h5 c0,40,5,22,0,0,,,,h1^2 h5 c0,,,,
h1^2 e1,40,6,23,0,-1,,,,h1^3 e1,,,,
P h1 h5,40,6,21,0,1,,,,P h1^2 h5,,,,
